"Title"	"Series"	"Contributors"	"Average Rating"	"Number of Ratings"	"Number of Reviews"	"Description"	"Number of Pages"	"Publishing Date"	"Genres"	"Setting"	"Characters"	"ISBN"	"Language"	"URL"
"A Clockwork Orange"	"None"	"Anthony Burgess"	"4.00"	"764,284"	"24,935"	"In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive,A Clockwork Orangeis a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”"	"240"	"May 21, 2019"	"Classics; Fiction; Science Fiction; Dystopia; Horror; Literature; Novels"	"England"	"Pete,Alex Jacobi,Georgie,Dim,Dr Brodsky"	"9780393341768(ISBN10: 0393341763)"	"English"	"https://www.goodreads.com/book/show/41817486-a-clockwork-orange"
"To Kill a Mockingbird"	"To Kill a Mockingbird"	"Harper Lee"	"4.26"	"6,807,815"	"131,222"	""Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird."A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel - a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with exuberant humour the irrationality of adult attitudes to race and class in the Deep South of the 1930s. The conscience of a town steeped in prejudice, violence and hypocrisy is pricked by the stamina of one man's struggle for justice. But the weight of history will only tolerate so much."To Kill A Mockingbird" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film."	"323"	"July 5, 2005"	"Classics; Fiction; Historical Fiction; School; Literature; Young Adult; Historical"	"Maycomb, Alabama(United States, 1933),Alabama(United States),The United States of America"	"Scout Finch,Atticus Finch,Jem Finch,Arthur Radley,Mayella Ewell,Alexandra Hancock,Bob Ewell,Calpurnia (To Kill a Mockingbird),Tom Robinson,Miss Maudie Atkinson,Dill Harris"	"Unknown"	"English"	"https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird"
"A Tree Grows in Brooklyn"	"None"	"Betty  Smith"	"4.30"	"508,276"	"32,212"	"The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith'sA Tree Grows in Brooklynis a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident.The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years.By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience."	"496"	"May 30, 2006"	"Classics; Fiction; Historical Fiction; Book Club; Young Adult; Coming Of Age; Historical"	"New York City, New York(United States),The United States of America,New York (State)(United States),Brooklyn, New York City, New York(United States)"	"Francie Nolan,Neeley Nolan,Katie Nolan,Johnny Nolan,Mary Rommely,Sissy Rommely,Eva "Evy" Rommely Flittman,Thomas Rommely,Sergeant McShane,Willie Flittmann,Flossie Gaddis,Ben Blake"	"9780061120077(ISBN10: 0061120073)"	"English"	"https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn"
"The Road"	"None"	"Cormac McCarthy"	"4.00"	"1,024,796"	"71,468"	"A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.The Roadis the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, “each the other’s world entire,” are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation."	"241"	"October 2, 2006"	"Fiction; Science Fiction; Dystopia; Classics; Post Apocalyptic; Horror; Book Club"	"The United States of America"	"The man,The boy"	"9780307265432(ISBN10: 0307265439)"	"English"	"https://www.goodreads.com/book/show/6288.The_Road"
"The Golden Compass"	"His Dark Materials"	"Philip Pullman"	"4.03"	"1,609,148"	"30,133"	"Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other."	"399"	"April 16, 1996"	"Fantasy; Young Adult; Fiction; Childrens; Adventure; Audiobook; Middle Grade"	"Oxford, Oxfordshire, England,Svalbard, Spitsbergen(Norway)"	"Lyra Belacqua,Pantalaimon,Lord Asriel,Iorek Byrnison,Iofur Raknison,Marisa Coulter,Lee Scoresby,Roger Parslow,Serafina Pekkala,Hester,Farder Coram,John Faa,Billy Costa"	"9780679879244(ISBN10: 0679879242)"	"English"	"https://www.goodreads.com/book/show/119322.The_Golden_Compass"
"The Elephant Tree"	"None"	"R.D. Ronald"	"3.90"	"39,780"	"477"	"Mark Fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs. Scott is a dejected 24 year old struggling to make ends meet working for his brother and supplementing his income with a small-scale drug dealing operation. Angela is an attractive 23 year old, raised by her father, a career criminal and small time drug dealer who supplies Scott with cannabis. This is a chilling tale spanning a few months in the lives of Scott and Angela, where realizations about the present combine with shocking revelations from the past leading to an apocalyptic climax where they no longer know whom they can trust."	"252"	"January 1, 2010"	"Thriller; Mystery; Fiction; Crime; Mystery Thriller; Contemporary; Novels"	"Unknown"	"Mark Fallon"	"9781848764569(ISBN10: 1848764561)"	"English"	"https://www.goodreads.com/book/show/9293020-the-elephant-tree"
"Harry Potter and the Goblet of Fire"	"Harry Potter"	"J.K. Rowling; Mary GrandPré"	"4.57"	"4,149,386"	"83,319"	"Lord Voldemort, the dark wizard responsible for the deaths of Harry's parents, is growing stronger. At the Quidditch World Cup, Voldemort's signature Dark Mark appears in the sky over the stadium, causing pandemonium. The lightning-bolt-shaped scar on Harry's forehead is sporadically causing him agonizing pain, and he is also hearing disturbing voices. Harry realizes that all this is the result of a strong connection between himself and the Dark Lord, one that is putting him in grave danger. Back at Hogwarts, the students are getting ready for the upcoming Triwizard Tournament. Witches and wizards from two other schools are coming to Hogwarts for the year to compete in a series of grueling contests. The tournament is open only to students age 17 and above, but when someone secretly enters Harry's name, he is forced to compete. How can a 14-year-old possibly pass tests that might be fatal to an advanced wizard? And with the threat of Lord Voldemort looming, will he be able to focus on the tournament at all? For Harry, his friends, and everyone in the Wizarding world, the stakes are about to become much higher. This fourth installment, with a heart-pounding and emotional climax, serves as a turning point in the series, for the reader and for Harry himself."	"752"	"July 8, 2000"	"Fantasy; Fiction; Young Adult; Harry Potter; Magic; Audiobook; Childrens"	"Hogwarts School of Witchcraft and Wizardry(United Kingdom, 1994),Scotland,United Kingdom"	"Sirius Black,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Arthur Weasley,Molly Weasley,Cho Chang,Cornelius Fudge,Sybil Trelawney,Ludo Bagman,Bartemius Crouch,Bartemius Crouch, Jr.,Fleur Delacour,Cedric Diggory,Viktor Krum,Bellatrix Lestrange,Alastor Moody,Rita Skeeter,Charlie Weasley,Bill Weasley,Draco Malfoy,Albus Dumbledore,Harry Potter,Hermione Granger"	"Unknown"	"English"	"https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire"
"Siddhartha"	"None"	"Hermann Hesse; Hilda Rosner; Zigmantas Ardickas"	"4.08"	"867,250"	"33,525"	"Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning."	"152"	"December 1, 1981"	"Classics; Fiction; Philosophy; Spirituality; Religion; Literature; Buddhism"	"India"	"Siddhartha,Govinda,Gotama,Kamala,Vasudeva"	"Unknown"	"English"	"https://www.goodreads.com/book/show/52036.Siddhartha"
"Vampire Academy"	"Vampire Academy"	"Richelle Mead"	"4.10"	"678,303"	"28,248"	"Only a true best friend can protect you from your immortal enemies...Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires—the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.After two years of freedom, Rose and Lissa are caught and dragged back to St. Vladimir's Academy, a school for vampire royalty and their guardians-to-be, hidden in the deep forests of Montana. But inside the iron gates, life is even more fraught with danger... and the Strigoi are always close by.Rose and Lissa must navigate their dangerous world, confront the temptations of forbidden love, and never once let their guard down, lest the evil undead make Lissa one of them forever..."	"332"	"August 16, 2007"	"Fantasy; Young Adult; Vampires; Paranormal; Romance; Urban Fantasy; Fiction"	"Montana(United States)"	"Vasilisa "Lissa" Dragomir,Dimitri Belikov,Christian Ozera,Mason Ashford,Victor Dashkov,Mia Rinaldi,Janine Hathaway,Natalie Dashkov,Edison "Eddie" Castile,Ellen Kirova,Rosemarie "Rose" Hathaway,Camille Conta,Stan Alto,Jesse Zeklos,Tatiana Ivashkov"	"9781595141743(ISBN10: 159514174X)"	"English"	"https://www.goodreads.com/book/show/345627.Vampire_Academy"
"Don Quixote"	"Don Quijote de la Mancha"	"Miguel de Cervantes Saavedra; Roberto González Echevarría; John Rutherford"	"3.91"	"302,814"	"14,593"	"Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.With its experimental form and literary playfulness,Don Quixotehas been generally recognized as the first modern novel. The book has been enormously influential on a host of writers, from Fielding and Sterne to Flaubert, Dickens, Melville, and Faulkner, who reread it once a year, "just as some people read the Bible.""	"1023"	"February 25, 2003"	"Classics; Fiction; Literature; Spanish Literature; Adventure; Historical Fiction; Novels"	"La Mancha(Spain),Barcelona, Catalonia(Spain),Spain"	"Sancho Panza,Don Quijote de la Mancha"	"Unknown"	"English"	"https://www.goodreads.com/book/show/3836.Don_Quixote"
"And Then There Were None"	"None"	"Agatha Christie"	"4.27"	"1,590,003"	"80,670"	"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:"Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none."When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion."	"264"	"May 3, 2004"	"Mystery; Classics; Fiction; Agatha Christie; Thriller; Crime; Mystery Thriller"	"Devon, England,England"	"Justice Lawrence John Wargrave,Vera Elizabeth Claythorne,Philip Lombard,General John Gordon Macarthur,Dr Edward George Armstrong,Anthony James Marston,William Henry Blore,Mr Thomas Rogers,Mrs Ethel Rogers,Emily Caroline Brent,Isaac Morris,Fred Narracott"	"9780312330873(ISBN10: 0312330871)"	"English"	"https://www.goodreads.com/book/show/16299.And_Then_There_Were_None"
"Angela’s Ashes"	"Frank McCourt"	"Frank McCourt"	"4.15"	"655,868"	"15,421"	"Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic."When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy—exasperating, irresponsible and beguiling—does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies.Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors—yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness.Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic."	"452"	"October 3, 2005"	"Nonfiction; Memoir; Biography; Classics; Ireland; Autobiography; Biography Memoir"	"Limerick(Ireland),New York (State)(United States),Ireland"	"Frank McCourt"	"9780007205233(ISBN10: 0007205236)"	"English"	"https://www.goodreads.com/book/show/252577.Angela_s_Ashes"
"The Old Man and the Sea"	"None"	"Ernest Hemingway"	"3.81"	"1,296,271"	"49,138"	"Librarian's note: An alternate cover edition can be foundhereThis short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses—specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954."	"96"	"January 1, 1996"	"Classics; Fiction; Literature; Novels; School; American; Adventure"	"Cuba,Gulf of Mexico"	"Santiago,Manolin"	"9780684830490(ISBN10: 0684830493)"	"English"	"https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea"
"The Poisonwood Bible"	"None"	"Barbara Kingsolver"	"4.11"	"789,347"	"31,424"	"The Poisonwood Bibleis a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa."	"546"	"May 31, 2005"	"Fiction; Historical Fiction; Africa; Book Club; Classics; Literary Fiction; Historical"	"Bethlehem, Georgia(United States, 1959),Kilanga(Congo, 1959),Sanderling Island, Georgia(United States),Leopoldville(Congo, 1959)"	"Orleanna Price,Ruth May Price,Rachel Rebeccah Price,Leah Price,Nathan Price,Dr Bud Wharton,Adah Price,Reverend & Mrs. Underdown"	"9780060786502(ISBN10: 0060786507)"	"English"	"https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible"
"The Complete Stories and Poems"	"None"	"Edgar Allan Poe"	"4.40"	"294,483"	"3,601"	"Edgar Allan Poe was one of the most original writers in the history of American letters, a genius who was tragically misunderstood in his lifetime. He was a seminal figure in the development of science fiction and the detective story, and exerted a great influence on Dostoyevsky, Arthur Conan Doyle, Jules Verne, and Charles Baudelaire, who championed him long before Poe was appreciated in his own country. Baudelaire's enthusiasm brought Poe a wide audience in Europe, and his writing came to have enormous importance for modern French literature. This edition includes his most well-known works--"The Raven," "The Pit and the Pendulum," "Annabel Lee," "The Fall of the House of Usher," "The Murders in the Rue Morgue"--as well as less-familiar stories, poems, and essays."	"821"	"August 15, 1984"	"Classics; Poetry; Horror; Fiction; Short Stories; Gothic; Mystery"	"Unknown"	"Unknown"	"9780385074070(ISBN10: 0385074077)"	"English"	"https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems"
"The Zombie Room"	"None"	"R.D. Ronald"	"3.92"	"39,627"	"444"	"An unlikely bond is forged between three men from very different backgrounds when they serve time together in prison. A series of wrong turns and disastrous life choices has led to their incarceration. Following their release, Mangle, Decker and Tazeem stick together as they return to a life of crime, embarking on a lucrative scam. But when they stumble upon a sophisticated sex-trafficking operation, they soon realise that they are in mortal danger. The disappearance of a family member and the murder of a dear friend lead the three to delve deeper into a world of violence and deception. In their quest for retribution and justice, they put their lives on the line. Their paths cross with that of Tatiana, who has left her home country for a better life in the West—or so she thinks. She soon realises she is in the hands of ruthless, violent people, who run an operation supplying girls to meet the most deviant desires of rich and powerful men. Will she survive the horrors of The Zombie Room? Are Mangle, Decker and Tazeem brave enough to follow her there, in an attempt to set her free?"	"218"	"April 10, 2016"	"Thriller; Mystery; Fiction; Crime; Mystery Thriller; Novels; Contemporary"	"Unknown"	"Unknown"	"Unknown"	"English"	"https://www.goodreads.com/book/show/29908754-the-zombie-room"
"Interview with the Vampire"	"The Vampire Chronicles"	"Anne Rice"	"4.02"	"644,974"	"21,652"	"In a darkened room a young man sits telling the macabre and eerie story of his life - the story of a vampire, gifted with eternal life, cursed with an exquisite craving for human blood.Here are the confessions of a vampire. Hypnotic, shocking, and chillingly erotic, this is a novel of mesmerizing beauty and astonishing force --- a story of danger and flight, of love and loss, of suspense and resolution, and of the extraordinary power of the senses. It is a novel only Anne Rice could write."	"346"	"August 31, 2004"	"Horror; Fantasy; Fiction; Vampires; Paranormal; Classics; Gothic"	"New Orleans, Louisiana(United States),Paris(France),Louisiana(United States)"	"Lestat de Lioncourt,Claudia,Daniel Molloy,Louis de Pointe du Lac"	"9780345476876(ISBN10: 0345476875)"	"English"	"https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire"
"Gone Girl"	"None"	"Gillian Flynn"	"4.15"	"3,412,910"	"168,332"	"An alternative cover edition for this ISBN can be foundhereWho are you?What have we done to each other?These are the questions Nick Dunne finds himself asking on the morning of his fifth wedding anniversary when his wife Amy suddenly disappears. The police suspect Nick. Amy's friends reveal that she was afraid of him, that she kept secrets from him. He swears it isn't true. A police examination of his computer shows strange searches. He says they weren't made by him. And then there are the persistent calls on his mobile phone.So what did happen to Nick's beautiful wife?"	"415"	"April 22, 2014"	"Fiction; Mystery; Thriller; Book Club; Mystery Thriller; Crime; Suspense"	"Missouri(United States),Midwest(United States)"	"Nick Dunne,Amy Elliot Dunne,Margo "Go" Dunne,Rand Elliot,Marybeth Elliot,Jim Gilpin,Rhonda Boney,Tanner Bolt,Andie Hardy,Desi Collings"	"9780307588371(ISBN10: 0307588378)"	"English"	"https://www.goodreads.com/book/show/19288043-gone-girl"
"The Girl Who Played with Fire"	"Millennium"	"Stieg Larsson; Reg Keeland"	"4.26"	"981,284"	"39,031"	"The ExposeMillenium publisher Mikael Blomkvist has made his reputation exposing corrupt establishment figures. So when a young journalist approaches him with an investigation into sex trafficking, Blomkvist cannot resist waging war on the powerful figures who control this lucrative industry.The MurderWhen a young couple is found dead in their Stockholm apartment, it's a straightforward job for Inspector Bublanski and his team. The killer left the weapon at the scene - and the fingerprints on the gun point in only one direction.The Girl Who Played with FireEx-security analyst Lisbeth Salander is wanted for murder. Her history of unpredictable and vengeful behaviour makes her an official danger to society - but no-one can find her. The only way Salander can be reached is by computer. But she can break into almost any network she chooses..."	"503"	"July 28, 2009"	"Fiction; Mystery; Thriller; Crime; Mystery Thriller; Suspense; Contemporary"	"Stockholm(Sweden),Sweden"	"Lisbeth Salander,Mikael Blomkvist,Alexander Zalachenko,Jan Bublanski,Sonja Modig,Peter Teleborian,Erika Berger,Ronald Niedermann,Annika Giannini,Dragan Armansky,Gunnar Björck,Harriet Vanger,Holger Palmgren,Nils Bjurman,Miriam Wu,Carl-Magnus Lundin"	"9780307269980(ISBN10: 0307269981)"	"English"	"https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire"
"Atlas Shrugged"	"None"	"Ayn Rand; Leonard Peikoff"	"3.69"	"405,687"	"21,419"	"This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story.Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels.You must be prepared, when you read this novel, to check every premise at the root of your convictions.This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well,thatis the first of your premises to check."	"1168"	"August 1, 1999"	"Fiction; Classics; Philosophy; Politics; Literature; Science Fiction; Novels"	"Unknown"	"Prometheus (mythology),Atlas,Dagny Taggart,John Galt,Hank Rearden,Francisco d'Anconia,James Taggart"	"9780452011878(ISBN10: 0452011876)"	"English"	"https://www.goodreads.com/book/show/662.Atlas_Shrugged"
"Winnie-the-Pooh"	"Winnie-the-Pooh"	"A.A. Milne; Ernest H. Shepard"	"4.38"	"393,288"	"8,923"	"The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday."	"161"	"October 1, 2001"	"Classics; Childrens; Fiction; Fantasy; Animals; Audiobook; Middle Grade"	"Hundred Acre Wood(United Kingdom)"	"Winnie the Pooh (A.A. Milne),Christopher Robin (A.A. Milne),Piglet (A.A. Milne),Owl (A.A. Milne),Kanga (A.A. Milne),Roo (A.A. Milne),Eeyore (A.A. Milne),Rabbit (A.A. Milne)"	"9780525467564(ISBN10: 0525467564)"	"English"	"https://www.goodreads.com/book/show/99107.Winnie_the_Pooh"
"The Notebook"	"The Notebook"	"Nicholas Sparks"	"4.16"	"1,828,707"	"28,613"	"Set amid the austere beauty of the North Carolina coast begins the story of Noah Calhoun, a rural Southerner recently returned from the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again.Like a puzzle within a puzzle, the story of Noah and Allie is just the beginning. As it unfolds, their tale miraculously becomes something different, with much higher stakes. The result is a deeply moving portrait of love itself, the tender moments and the fundamental changes that affect us all. It is a story of miracles and emotions that will stay with you forever."	"227"	"December 1, 2016"	"Romance; Fiction; Chick Lit; Contemporary; Adult; Classics; Adult Fiction"	"New Bern, North Carolina(United States, 1946),North Carolina(United States)"	"Noah Taylor Calhoun,Allison Nelson,Lon Hammond Jr,Anne Nelson"	"Unknown"	"English"	"https://www.goodreads.com/book/show/33648131-the-notebook"
"The Thorn Birds"	"None"	"Colleen McCullough"	"4.25"	"363,660"	"8,977"	"The Thorn Birds is a robust, romantic saga of a singular family, the Clearys. It begins in the early part of the 20th century, when Paddy Cleary moves his wife, Fiona, and their seven children to Drogheda, the vast Australian sheep station owned by his autocratic and childless older sister; and it ends more than half a century later, when the only survivor of the third generation, the brilliant actress Justine O'Neill, sets a course of life and love halfway around the world from her roots.The central figures in this enthralling story are the indomitable Meggie, the only Cleary daughter, and the one man she truly loves, the stunningly handsome and ambitious priest Ralph de Bricassart. Ralph's course moves him a long way indeed, from a remote Outback parish to the halls of the Vatican; and Meggie's except for a brief and miserable marriage elsewhere, is fixed to the Drogheda that is part of her bones - but distance does not dim their feelings though it shapes their lives.Wonderful characters people this book; strong and gentle, Paddy, hiding a private memory; dutiful Fiona, holding back love because it once betrayed her, violent, tormented Frank, and the other hardworking Cleary sons who give the boundless lands of Drogheda the energy and devotion most men save for women; Meggie; Ralph; and Meggie's children, Justine and Dane. And the land itself; stark, relentless in its demands, brilliant in its flowering, prey to gigantic cycles of drought and flood, rich when nature is bountiful, surreal like no other place on earth.Alternate Cover Edition ISBN 0380018179 (ISBN13: 9780380018178)"	"692"	"January 1, 1977"	"Fiction; Historical Fiction; Romance; Classics; Australia; Historical; Historical Romance"	"Australia,Vatican City(Italy),New Zealand,Australian Outback(Australia)"	"Ralph de Bricassart,Meghann "Meggie" Cleary,Luke O'Neill,Fiona "Fee" Cleary,Padraic "Paddy" Cleary,Francis "Frank" Cleary,Dane O'Neill,Justine O'Neill,Mary Elizabeth Cleary Carson,Rainer "Rain" Moerling Hartheim,Luddie Mueller,Anne Mueller,Archbishop (later Cardinal) Vittorio di Contini-Verchese,Bob Cleary,Jack Cleary,Hughie Cleary,Stuart "Stu" Cleary,James and Patrick "Jims and Patsy" Cleary,Harold "Hal" Cleary"	"Unknown"	"English"	"https://www.goodreads.com/book/show/3412.The_Thorn_Birds"
"The Ultimate Hitchhiker’s Guide to the Galaxy"	"The Hitchhiker’s Guide to the Galaxy"	"Douglas Adams"	"4.38"	"337,077"	"6,828"	"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. "The Hitchhiker's Guide to the Galaxy"Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space."The Restaurant at the End of the Universe"Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat."Life, the Universe and Everything"The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert mild-mannered Arthur Dent and his stalwart crew."So Long, and Thanks for All the Fish"Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak."Mostly Harmless"Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story "Young Zaphod Plays It Safe"."	"815"	"April 28, 2002"	"Science Fiction; Fiction; Humor; Fantasy; Classics; Comedy; Science Fiction Fantasy"	"Unknown"	"Zaphod Beeblebrox,Arthur Dent,Ford Prefect,Trillian,Marvin, the paranoid android"	"9780345453747(ISBN10: 0345453743)"	"English"	"https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy"
"The Maze Runner"	"The Maze Runner"	"James Dashner"	"4.05"	"1,665,457"	"70,593"	"There are alternate cover editions for this ASINhereandhere.If you ain’t scared, you ain’t human.When Thomas wakes up in the lift, the only thing he can remember is his name. He’s surrounded by strangers—boys whose memories are also gone.Nice to meet ya, shank. Welcome to the Glade.Outside the towering stone walls that surround the Glade is a limitless, ever-changing maze. It’s the only way out—and no one’s ever made it through alive.Everything is going to change.Then a girl arrives. The first girl ever. And the message she delivers is terrifying.Remember. Survive. Run."	"384"	"October 6, 2009"	"Young Adult; Dystopia; Science Fiction; Fiction; Fantasy; Adventure; Audiobook"	"Unknown"	"Chuck,Teresa Agnes,Minho,Alby,Gally,Thomas (Maze Runner),Ben,Newt"	"9780385737944(ISBN10: 0385737947)"	"English"	"https://www.goodreads.com/book/show/6186357-the-maze-runner"
