"Title"	"Series"	"Contributors"	"Average Rating"	"Number of Ratings"	"Number of Reviews"	"Description"	"Number of Pages"	"Publishing Date"	"Genres"	"Setting"	"Characters"	"ISBN"	"Language"	"URL"
"The Lightning Thief"	"Percy Jackson and the Olympians"	"Rick Riordan"	"4.31"	"3,396,704"	"116,981"	"Alternate cover for this ISBN can be foundherePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods."	"377"	"March 1, 2006"	"Fantasy; Young Adult; Mythology; Fiction; Middle Grade; Percy Jackson; Adventure"	"New York City, New York(United States),Montauk, New York(United States),New Jersey(United States),St. Louis, Missouri(United States),Las Vegas, Nevada(United States),Long Island, New York(United States),Los Angeles, California(United States),Santa Monica, California(United States),Denver, Colorado(United States)"	"Annabeth Chase,Grover Underwood,Luke Castellan,Zeus (Greek mythology),Dionysus (mythology),Ares (god),Chiron,Percy Jackson,Poseidon,Hades (Greek God)"	"9780786838653(ISBN10: 0786838655)"	"English"	"https://www.goodreads.com/book/show/28187.The_Lightning_Thief"
"Wuthering Heights"	"None"	"Emily Brontë; Richard J. Dunn; Charlotte Brontë"	"3.90"	"2,012,298"	"82,430"	"You can find the redesigned cover of this editionHERE.At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.New to the fourth Edition are twelve of Emily Bronte's letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition, prose and poetry selections by the author, four reviews of the novel, and poetry selections by the author, four reviews of the novel, and Edward Chitham's insightful and informative chronology of the creative process behind the beloved work.Five major critical interpretations of Wuthering Heights are included, three of them new to the Fourth Edition. A Stuart Daley considers the importance of chronology in the novel. J. Hillis Miller examines Wuthering Heights's problems of genre and critical reputation. Sandra M. Gilbert assesses the role of Victorian Christianity plays in the novel, while Martha Nussbaum traces the novel's romanticism. Finally, Lin Haire-Sargeant scrutinizes the role of Heathcliff in film adaptations of Wuthering Heights.A Chronology and updated Selected Bibliography are also included."	"464"	"January 1, 2002"	"Classics; Fiction; Romance; Gothic; Historical Fiction; Literature; Historical"	"England,Yorkshire, England"	"Heathcliff,Catherine Earnshaw,Edgar Linton,Isabella Linton,Hindley Earnshaw,Ellen (Nelly) Dean,Mr. Lockwood,Hareton Earnshaw,Catherine Linton,Linton Heathcliff"	"Unknown"	"English"	"https://www.goodreads.com/book/show/6185.Wuthering_Heights"
"The Giving Tree"	"None"	"Shel Silverstein"	"4.39"	"1,226,359"	"24,041"	""Once there was a tree...and she loved a little boy."So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return."	"64"	"October 7, 1964"	"Childrens; Classics; Fiction; Picture Books; Poetry; Young Adult; Fantasy"	"Unknown"	"Unknown"	"9780060256654(ISBN10: 0060256656)"	"English"	"https://www.goodreads.com/book/show/370493.The_Giving_Tree"
"Harry Potter and the Order of the Phoenix"	"Harry Potter"	"J.K. Rowling; Mary GrandPré"	"4.50"	"3,758,219"	"76,525"	"Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fashion. What Harry is about to discover in his new year at Hogwarts will turn his world upside down..."	"870"	"September 1, 2004"	"Fantasy; Fiction; Young Adult; Harry Potter; Magic; Audiobook; Childrens"	"Hogwarts School of Witchcraft and Wizardry(United Kingdom),London, England"	"Sirius Black,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Colin Creevey,Filius Flitwick,Gilderoy Lockhart,Lucius Malfoy,Pomona Sprout,Arthur Weasley,Molly Weasley,Cho Chang,Cornelius Fudge,Remus Lupin,Sybil Trelawney,Stan Shunpike,Bellatrix Lestrange,Alastor Moody,Rita Skeeter,Luna Lovegood,Nymphadora Tonks,Dolores Umbridge,Dobby,Kingsley Shacklebolt,Padma Patil,Parvati Patil,Kreacher,Dean Thomas,Seamus Finnigan,Draco Malfoy,Albus Dumbledore,Harry Potter,Hermione Granger,Lavender Brown"	"9780439686525(ISBN10: 0439686520)"	"English"	"https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix"
"Gone with the Wind"	"None"	"Margaret Mitchell"	"4.31"	"1,252,842"	"26,859"	"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea."	"1037"	"August 1, 1993"	"Classics; Historical Fiction; Fiction; Romance; Historical; War; Literature"	"Atlanta, Georgia(United States),Georgia(United States)"	"Scarlett O'Hara,Rhett Butler,Ashley Wilkes,Melanie Hamilton Wilkes,Wade Hampton Hamilton,Ella Lorena Kennedy,Eugenie Victoria "Bonnie Blue" Butler,Beau Wilkes,India Wilkes,Honey Wilkes,John  Wilkes,Gerald O'Hara,Ellen O'Hara,Suellen O'Hara,Carreen O'Hara,Eulalie,Pauline,Mammy Abigail,Prissy,Pork,Dilcey,Charles Hamilton,Frank Kennedy,Belle Watling,Jonas Wilkerson,Emmie Slattery,Will Benteen,Aunt Pittypat Hamilton,Uncle Peter"	"9780446365383(ISBN10: 0446365386)"	"English"	"https://www.goodreads.com/book/show/18405.Gone_with_the_Wind"
"The Perks of Being a Wallflower"	"None"	"Stephen Chbosky"	"4.24"	"1,981,395"	"106,595"	"standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.(back cover)"	"213"	"February 1, 1999"	"Young Adult; Fiction; Contemporary; Classics; Coming Of Age; Romance; Mental Health"	"Pittsburgh, Pennsylvania(United States)"	"Bill,Mary-Elizabeth,Charlie,Sam,Patrick,Michael,Aunt Helen"	"Unknown"	"English"	"https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower"
"The Little Prince"	"None"	"Antoine de Saint-Exupéry; Richard Howard"	"4.33"	"2,438,237"	"83,507"	"A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. "Please," asks the stranger, "draw me a sheep." And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.Few stories are as widely read and as universally cherished by children and adults alike asThe Little Prince, presented here in a stunning new translation with carefully restored artwork. The definitive edition of a worldwide classic, it will capture the hearts of readers of all ages."	"96"	"May 15, 2000"	"Classics; Fiction; Fantasy; Childrens; France; Philosophy; Young Adult"	"Unknown"	"Unknown"	"9780152023980(ISBN10: 0152023984)"	"English"	"https://www.goodreads.com/book/show/157993.The_Little_Prince"
"Jane Eyre"	"None"	"Charlotte Brontë; Michael Mason"	"4.16"	"2,300,430"	"78,542"	"Alternate editions can be foundhereandhere.A gothic masterpiece of tempestuous passions and dark secrets, Charlotte Brontë'sJane Eyreis edited with an introduction and notes by Stevie Davis in Penguin Classics.Charlotte Brontë tells the story of orphaned Jane Eyre, who grows up in the home of her heartless aunt, enduring loneliness and cruelty. This troubled childhood strengthens Jane's natural independence and spirit - which prove necessary when she finds employment as a governess to the young ward of Byronic, brooding Mr Rochester. As her feelings for Rochester develop, Jane gradually uncovers Thornfield Hall's terrible secret, forcing her to make a choice. Should she stay with Rochester and live with the consequences, or follow her convictions - even if it means leaving the man she loves? A novel of intense power and intrigue,Jane Eyredazzled readers with its passionate depiction of a woman's search for equality and freedom."	"532"	"February 4, 2003"	"Classics; Fiction; Romance; Gothic; Historical Fiction; Literature; Historical"	"Thornfield Hall(United Kingdom),England,United Kingdom"	"Jane Eyre,Grace Poole,Blanche Ingram,Adèle Varens,St. John Rivers,Helen Burns,Richard Mason,Diana Rivers,Mary Rivers,Maria Temple,Robert Brocklehurst,Sarah Reed,Georgiana Reed,Eliza Reed,Bessie Lee,Alice Fairfax,Rosamond Oliver,Edward Rochester"	"9780142437209(ISBN10: 0142437204)"	"English"	"https://www.goodreads.com/book/show/10210.Jane_Eyre"
"The Great Gatsby"	"None"	"F. Scott Fitzgerald"	"3.93"	"5,843,900"	"127,571"	"Alternate covers of this ISBN can be foundhere,hereandhere.The only edition of the beloved classic that is authorized by Fitzgerald’s family and from his lifelong publisher.This edition is the enduring original text, updated with the author’s own revisions, a foreword by his granddaughter, and with a new introduction by National Book Award winner Jesmyn Ward.The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published by Scribner in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan is an exquisitely crafted tale of America in the 1920s."	"180"	"January 1, 1925"	"Classics; Fiction; School; Historical Fiction; Romance; Literature; Novels"	"New York City, New York(United States),New York (State)(United States),Long Island, New York(United States),The United States of America"	"Nick Carraway,Jay Gatsby,Daisy Buchanan,Tom Buchanan,Jordan Baker,Myrtle Wilson,Meyer Wolfsheim,George Wilson"	"9780743273565(ISBN10: 0743273567)"	"English"	"https://www.goodreads.com/book/show/4671.The_Great_Gatsby"
"Crime and Punishment"	"None"	"Fyodor Dostoevsky; David McDuff; Joseph Frank"	"4.28"	"1,061,283"	"50,402"	"Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden sex worker, can offer the chance of redemption."	"671"	"December 31, 2002"	"Classics; Fiction; Russia; Russian Literature; Literature; Philosophy; Novels"	"Russian Empire,Siberia(Russian Federation),Russia,St. Petersburg, Russia"	"Rodion Romanovich Raskolnikov,Porfiry Petrovich,Sofia Semyonovna Marmeladova,Avdotya Romanovna Raskolnikova,Arkady Ivanovich Svidrigailov,Dmitri Prokofich Razumikhin,Katerina Ivanovna Marmeladova,Pyotr Petrovich Luzhin,Pulcheria Alexandrovna Raskolnikov,Semyon Zakharovich Marmeladov,Andrei Semyonovich Lebezyatnikov,Alyona Ivanovna,Lizaveta Ivanovna,Zossimov,Nastasya Petrovna (“Nastenka,” “Nastasyushka”),Ilya Petrovich (“Gunpowder”),Alexander Grigorievich Zamyotov,Nikolai Dementiev (“Mikolka”),Polina Mikhailovna Marmeladov (“Polya,” “Polenka,” “Polechka”)"	"Unknown"	"English"	"https://www.goodreads.com/book/show/7144.Crime_and_Punishment"
